ID,Phylum,Class,Order,Family,ScientificName,CommonName,Mod,MRE,SMSE,COM,rest
Haliclona_oculata,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona oculata,Mermaid's glove,std,0.036,0.006,1.9,"am, Wwb, Wwp, Wwi, Ri, t-Ww"
Actinia_equina,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia equina,Beadlet anemone,std,0.032,0.006,2.3,"am, Lp, Li, Wwb, Wwp, Wwi, Ri, t-Ww, Ww-Wd, L-Ww"
Metridium_senile,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium senile,Frilled anemone,std,0.226,0.17,2.3,"am, Wwb, Wwp, Wwi, t-A, A-Ww, Ww-WwR"
Ptilosarcus_gurneyi,Cnidaria,Anthozoa,Pennatulacea,Pennatulidae,Ptilosarcus gurneyi,Orange sea pen,std,0.061,0.006,2.3,"ap, am, Lp, Li, Wwb, Wwi, Ri, t-L"
Chironex_fleckeri,Cnidaria,Cubozoa,Chirodropida,Chirodropidae,Chironex fleckeri,Sea wasp,abj,0.178,0.125,2.0,"ab, am, Lb, Lp, Li, Wwi, Ri, t-L"
Hydra_viridissima,Cnidaria,Hydrozoa,Anthomedusae,Hydridae,Hydra viridissima,Green hydra,stf,0.068,0.013,2.5,"ab, ap, am, Vb, Vp, Vi, Ri, t-A, t-V, t-N"
Pelagia_noctiluca,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Pelagia noctiluca,Mauve stinger,abj,0.229,0.139,3.0,"ap, am, L0, Lb, Lp, Li, Wwi, Ri, RQ, L-Ww, L-Wd, L-WN, L-WC, t-Ww, L-R, T-ab, T-JO, T-JN"
Cyanea_capillata,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea capillata,Lion's mane jellyfish,abj,0.052,0.022,2.5,"ap, am, Lb, Lp, Li, Ni, t-L, L-Ww"
Cassiopea_xamachana,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea xamachana,Upside-down jellyfish,abj,0.068,0.011,2.4,"am, Lb, Lj, Lp, Li, t-L_f, L-Ww"
Rhizostoma_octopus,Cnidaria,Scyphozoa,Rhizostomeae,Rhizostomatidae,Rhizostoma octopus,Barrel jellyfish,abj,0.043,0.002,2.5,"ap, am, Lb, Lp, Li, L_t, Wwb, Wwi, Ni, t-L, t-Ww"
Mastigias_papua,Cnidaria,Scyphozoa,Rhizostomeae,Mastigiidae,Mastigias papua,Spotted jelly,abj,0.214,0.059,2.3,"ab, aj, ap, am, Lb, Lj, Lp, Li, t-L_T, L-Ww, L-JO"
Mnemiopsis_leidyi,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Mnemiopsis leidyi,Sea walnut,asj,0.213,0.134,3.0,"ab, ap, am, Lb, Lj, Lp, Li, WC0, Wwi, R_L, t-L, t-N, L-Ww, L-WC, L-V, L-R, Ww-R"
Bolinopsis_mikado,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis mikado,Japanese comb jelly,abj,0.429,0.145,2.8,"am, Lj, Lp, Li, WC0, WN0, Wwb, Wwp, Wdi, R_L, L-Wd, L-Ww, Wd-JO, Wd-JN, T-N"
Callianira_antarctica,Ctenophora,Tentaculata,Cydippida,Mertensiidae,Callianira antarctica,Antarctic comb jelly,abj,0.232,0.373,1.5,"ap, am, Lp, Li, Wwb, Wdi, L-Wd, L-WC, L-WN, Wd-JO, Wd-JN"
Pleurobrachia_pileus,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia pileus,Sea gooseberry,abj,0.069,0.021,3.0,"ab, am, Lb, Lp, Li, Wdi, Ri, RQ, t-L_T, L-F, Ww-JO_T"
Pleurobrachia_bachei,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia bachei,Sea gooseberry,abj,0.182,0.116,5.0,"ab, ap, am, Lb, Lp, Li, WC0, Wdi, Ri, t-L_f, t-JX_f, t-N_f, L-Wd_f, L-JO_T, L-Wd"
Beroe_gracilis,Ctenophora,Nuda,Beroida,Beroidae,Beroe gracilis,Melon comb jelly,abj,0.219,0.137,2.5,"ab, ap, am, Lb, Lp, Li, Wwi, t-L, L-Ww, T-JO"
Beroe_ovata,Ctenophora,Nuda,Beroida,Beroidae,Beroe ovata,Comb jelly,abj,0.289,0.512,3.2,"ab, am, L0, Lp, Li, WC0, Wwi, R_L, Wd-JO, Ww-R_f, t-Ww, t-WC, L-Ww, Ww-JO_T"
