Species,v,kap,kap_R,p_M,k_J,kap_G,k,g,f_tL,p_Am,w,E_m,t_0
Haliclona oculata,0.06032,0.9823,0.475,21.35,0.002,0.8014,,,,,,,
Actinia equina,0.01993,0.9,0.95,18.06,0.00258,0.8,0.2997,,,,,,
Metridium senile,0.0298,0.9963,0.95,20.86,0.002,0.8002,,,,,,,
Ptilosarcus gurneyi,0.01678,0.9,0.95,1.29,0.002,0.798,,,,,,,
Chironex fleckeri,0.006441,0.4886,0.95,120.9,0.002,0.8017,,,,,,,
Hydra viridissima,0.04227,0.5926,0.95,125.7,0.002,0.8008,,,,,,,
Pelagia noctiluca,0.01847,0.5681,0.95,161.4,0.002,0.8007,,,,,,,
Cyanea capillata,0.0577,0.4,0.95,26.04,0.002,0.8016,,,,,,,
Cassiopea xamachana,0.02299,0.975,0.95,126.8,0.002,0.7965,0.008289,,,,,,
Rhizostoma octopus,0.03026,0.7583,0.95,25.36,0.002,0.8018,,,,,,,
Mastigias papua,0.008836,0.9,0.95,31.25,0.002,0.7966,,,,,,,
Mnemiopsis leidyi,0.03153,0.3911,0.475,109.2,0.002,0.7989,,,,,,,
Bolinopsis mikado,0.03565,0.9891,0.475,96.17,0.002,0.7829,,,,,,,
Callianira antarctica,0.03104,0.95,0.475,17.87,0.002,0.7907,,,,,,,
Pleurobrachia pileus,0.04558,0.9549,0.475,33.95,0.002,0.7921,,,,,,,
Pleurobrachia bachei,0.09791,0.9797,0.475,14.25,0.002,0.8003,,,,,,,
Beroe gracilis,0.07853,0.7661,0.475,42.57,0.002,0.8046,,,,,,,
Beroe ovata,0.02397,0.6724,0.475,16.62,0.002,0.8047,,,,,,,
Symsagittifera roscoffensis,0.02307,0.9,0.475,99.36,0.002,0.8013,,,,,,,
Moniliformis dubius,0.0145,0.857,0.95,96.44,0.002,0.8012,0.03791,,,,,,
Asplanchna girodi,0.172,0.3111,0.95,2083.0,0.002,0.7995,,,,,,,
Brachionus plicatilis,0.0126,0.3681,0.95,4844.0,0.002,0.8049,,,,,,,
Chiton tuberculatus,0.02584,0.9975,0.95,29.93,0.002,0.7998,,,,,,,
Lepidochitona cinerea,0.02937,0.9984,0.95,69.85,0.002,0.8014,,,,,,,
Katharina tunicata,0.01686,0.9428,0.95,13.43,0.002,0.799,,,,,,,
Cryptochiton stelleri,0.01411,0.6867,0.95,9.391,0.002,0.7982,,,,,,,
Aequiyoldia eightsii,0.02012,0.9979,0.95,17.96,0.002,0.7999,,,,,,,
Arca noae,0.002,0.98,0.95,5.037,0.0006723,0.7983,0.3148,,,,,,
Glycymeris glycymeris,0.01998,0.98,0.95,1.809,0.0002354,0.7984,0.3068,,,,,,
Glycymeris longior,0.01979,0.98,0.95,3.44,0.0004543,0.7972,0.3119,,,,,,
Glycymeris pilosa,0.02503,0.98,0.95,3.896,0.0004774,0.8003,0.2883,,,,,,
Lissarca notorcadensis,0.01065,0.9832,0.95,19.77,0.002,0.8004,,,,,,,
Adamussium colbecki,0.01138,0.6914,0.95,38.43,0.002,0.8096,0.2138,,,,,,
Placopecten magellanicus,0.007445,0.5903,0.95,330.5,0.002,0.7972,,,,,,,
Argopecten purpuratus,0.03876,0.9719,0.95,51.68,0.002,0.7931,0.09187,,,,,,
Aequipecten opercularis,0.01667,1.0,0.475,38.79,0.002,0.8019,,,,,,,
Pecten maximus,0.03021,0.8865,0.95,49.06,0.002,0.7938,,,,,,,
Chlamys islandica,0.008853,0.4159,0.95,23.97,0.002,0.801,,,,,,,
Zygochlamys patagonica,0.02024,0.9431,0.95,41.25,0.002,0.8038,,,,,,,
Patinopecten caurinus,0.02024,0.8318,0.95,41.25,0.002,0.8026,,,,,,,
Mimachlamys asperrima,0.02048,0.6859,0.95,18.1,0.002,0.7999,,,,,,,
Mimachlamys varia,0.01908,0.9728,0.95,17.23,0.002,0.7992,,,,,,,
Magallana gigas,0.005363,0.2644,0.95,17.34,0.002,0.7931,,,,,,,
Crassostrea corteziensis,0.02556,0.6052,0.95,25.75,0.002,0.8048,,,,,,,
Crassostrea virginica,0.02199,0.681,0.95,4.166,0.0005444,0.8133,0.3025,,,,,,
