length,gc_content,blast_score,bit_score
2538,0.3739164696611505,2426.0,4481.09
2558,0.3534010946051603,2446.0,4518.03
1677,0.39594514013118665,1578.0,2915.13
1682,0.3222354340071344,1581.0,2920.67
1619,0.2291537986411365,1524.0,2815.41
1650,0.29333333333333333,1545.0,2854.19
1658,0.379372738238842,1551.0,2865.27
1644,0.34124087591240876,1546.0,2856.04
1632,0.3247549019607843,1533.0,2832.03
1620,0.4030864197530864,1513.0,2795.1
1702,0.399529964747356,1602.0,2959.45
1622,0.42355117139334153,1524.0,2815.41
1618,0.357849196538937,1518.0,2804.33
1658,0.3455971049457177,1566.0,2892.97
1756,0.3542141230068337,1656.0,3059.17
1720,0.34651162790697676,1605.0,2964.99
1719,0.31180919139034324,1602.0,2959.45
1761,0.35718341851220897,1656.0,3059.17
1774,0.370913190529876,1665.0,3075.79
1758,0.3839590443686007,1654.0,3055.48
1632,0.3235294117647059,1536.0,2837.57
1725,0.36579710144927535,1629.0,3009.31
1657,0.3264936632468316,1557.0,2876.35
1662,0.31708784596871237,1564.0,2889.28
1682,0.4179548156956005,1581.0,2920.67
1685,0.3893175074183976,1561.0,2883.74
1712,0.39602803738317754,1617.0,2987.15
1809,0.41514648977335544,1710.0,3158.89
1808,0.375,1710.0,3158.89
1649,0.37295330503335355,1554.0,2870.81
1849,0.35370470524607894,1755.0,3241.99
1789,0.3219675796534377,1671.0,3086.87
1711,0.3185271770894214,1614.0,2981.61
1703,0.3264826776277158,1608.0,2970.53
1672,0.3397129186602871,1569.0,2898.51
1828,0.3293216630196937,1699.0,3138.58
1817,0.3632361034672537,1716.0,3169.97
1651,0.39067231980617806,1539.0,2843.11
1659,0.38034960819770947,1545.0,2854.19
1665,0.36936936936936937,1545.0,2854.19
1664,0.37560096153846156,1545.0,2854.19
1668,0.36930455635491605,1545.0,2854.19
1637,0.37263286499694565,1542.0,2848.65
1649,0.36628259551243175,1545.0,2854.19
1660,0.3891566265060241,1548.0,2859.73
1665,0.35855855855855856,1542.0,2848.65
1646,0.3292831105710814,1542.0,2848.65
1663,0.3361395069152135,1542.0,2848.65
1638,0.3485958485958486,1542.0,2848.65
1676,0.3341288782816229,1542.0,2848.65
1634,0.3463892288861689,1539.0,2843.11
1670,0.3413173652694611,1542.0,2848.65
1648,0.3483009708737864,1554.0,2870.81
1636,0.34902200488997553,1536.0,2837.57
1637,0.42638973732437385,1542.0,2848.65
1661,0.34617700180614086,1548.0,2859.73
1634,0.3164014687882497,1536.0,2837.57
1630,0.3343558282208589,1536.0,2837.57
