ID,Gene_ID
Pelagia_noctiluca,82289627
Cryptochiton_stelleri,24121149
Argopecten_purpuratus,26037588
Ostrea_edulis,72902675
Saccostrea_cuccullata,25396328
Brachidontes_pharaonis,72724671
Geukensia_demissa,71456026
Modiolus_modiolus,30901678
Perna_canaliculus,63651061
Septifer_virgatus,77081908
Cerastoderma_edule,33910920
Tridacna_gigas,59143209
Donax_trunculus,34680289
Donax_vittatus,34680366
Macoma_balthica,44796745
Mya_arenaria,64455170
Corbicula_fluminea,44790258
Dosinia_japonica,37501127
Mercenaria_mercenaria,55289774
Ruditapes_philippinarum,29141295
Ruditapes_decussatus,33912902
Echyridella_menziesii,32951396
Cumberlandia_monodonta,32951435
Margaritifera_laevis,81491125
Margaritifera_margaritifera,40879706
Amblema_plicata,58118287
Actinonaias_ligamentina,88582314
Microcondylaea_bonellii,41042463
Potomida_littoralis,27440817
Lamellidens_marginalis,71943704
Alasmidonta_heterodon,36485351
Anodonta_cygnea,35200129
Pseudanodonta_complanata,67148052
Unio_crassus,31085355
Gibbula_umbilicalis,33906365
Clithon_retropictum,38745221
Buccinum_undatum,39111825
Potamopyrgus_antipodarum,77843122
Bulinus_globosus,70630956
Bulinus_truncatus,70630842
Ferrissia_californica,89915776
Biomphalaria_pfeifferi,37500883
Discus_perspectivus,74556065
Ambigolimax_valentianus,79584005
Helix_pomatia,39411738
Uroteuthis_chinensis,26120136
Uroteuthis_duvauceli,25396632
Liocranchia_reinhardtii,84369732
Abraliopsis_morisii,84369952
Histioteuthis_bonnellii,77420852
Illex_argentinus,24143665
Thysanoteuthis_rhombus,68212283
Sepia_elegans,77420933
Sepia_orbignyana,77420894
Sepia_pharaonis,15333727
Sepietta_obscura,74548294
Rossia_macrosoma,74548066
Spirula_spirula,32881279
Argonauta_argo,77651840
Argonauta_hians,35093656
Japetella_diaphana,76825814
Eledone_cirrhosa,77651879
Enteroctopus_dofleini,65342656
Amphioctopus_fangsiao,70624449
Octopus_bimaculoides,27205976
Pteroctopus_tetracirrhus,77421092
Hediste_diversicolor,67144927
Aporrectodea_caliginosa,74993508
Eisenia_andrei,73938192
Eisenia_fetida,73938231
Barbronia_weberi,79125844
Theromyzon_tessulatum,77421906
Rhizoglyphus_robini,37500843
Artemia_salina,67147945
Artemia_urmiana,76810918
Eubranchipus_grubii,58904593
Branchinella_kugenumaensis,63651603
Daphnia_carinata,26118532
Daphnia_magna,24147222
Simocephalus_serrulatus,70626247
Diaphanosoma_excisum,69221104
Lepidurus_arcticus,41792821
Triops_granarius,41826674
Eurytemora_affinis,54124863
Lepeophtheirus_salmonis,67122611
Jassa_falcata,74566435
Gammarus_roeselii,37276059
Hyalella_azteca,38169095
Euphausia_superba,39119113
Paratya_australiensis,25077070
Homarus_gammarus,79570853
Pacifastacus_leniusculus,30899328
Austropotamobius_torrentium,30898098
Panulirus_versicolor,26381471
Birgus_latro,42268471
Cancer_pagurus,60458222
Charybdis_bimaculata,36934992
Folsomia_candida,70616979
Lepisma_saccharina,54616150
Aedes_aegypti,33307574
Plodia_interpunctella,26038729
Spodoptera_frugiperda,25768296
Pisaster_ochraceus,40487546
Protoreaster_nodosus,63650039
Crossaster_papposus,63044522
Sterechinus_neumayeri,24286968
Lytechinus_variegatus,36941420
Holothuria_scabra,24285853
Branchiostoma_floridae,64989099
Ciona_intestinalis,12977563
Botrylloides_violaceus,19592777
Geotria_australis,26893247
Mordacia_mordax,77428366
Ichthyomyzon_gagei,32229118
Entosphenus_tridentatus,75508052
Lampetra_aepyptera,24143973
Hemiscyllium_ocellatum,41799797
Stegostoma_fasciatum,26898162
Ginglymostoma_cirratum,27909893
Galeus_melastomus,56139842
Scyliorhinus_retifer,84875883
Mustelus_mustelus,38288981
Triakis_megalopterus,82129061
Triakis_semifasciata,82129877
Galeorhinus_galeus,86140259
Carcharhinus_albimarginatus,54599909
Carcharhinus_amblyrhynchos,54620576
Carcharhinus_brachyurus,67271086
Carcharhinus_brevipinna,24285736
Carcharhinus_falciformis,40145931
Carcharhinus_limbatus,67143299
Rhizoprionodon_acutus,44150261
Negaprion_brevirostris,79128045
Loxodon_macrorhinus,27213889
Scoliodon_laticaudus,41698876
Hemipristis_elongata,30513491
Sphyrna_mokarran,33868457
Sphyrna_tiburo,26374492
Eusphyra_blochii,30213935
Lamna_nasus,31082867
Alopias_vulpinus,56138448
Squalus_blainville,69241969
Squalus_montalbani,26376204
Somniosus_microcephalus,56138371
Squatina_dumeril,55288086
Amblyraja_georgiana,36956230
Beringraja_binoculata,84878049
Beringraja_stellulata,84877479
Dipturus_batis,54105507
Dipturus_innominatus,36955774
Dipturus_oxyrinchus,36955964
Dipturus_trachyderma,25021122
Leucoraja_naevus,36956002
Raja_asterias,36956078
Raja_brachyura,56138409
Raja_clavata,36956154
Raja_miraletus,36956192
Raja_polystigma,36956116
Raja_undulata,69241931
Zearaja_nasuta,36955736
Bathyraja_albomaculata,36955850
Bathyraja_aleutica,84877707
Bathyraja_griseocauda,36955888
Bathyraja_interrupta,84878087
Bathyraja_maculata,84877745
Bathyraja_parmifera,84876757
Bathyraja_taranetzi,84877783
Torpedo_marmorata,69242007
Narcine_brasiliensis,32887017
Pristis_pectinata,24404079
Rhynchobatus_laevis,54591598
Acroteriobatus_annulatus,76827813
Dasyatis_pastinaca,67787166
Gymnura_altavela,69241893
Rhinoptera_bonasus,84889366
Erpetoichthys_calabaricus,64986351
Acipenser_brevirostrum,30769041
Acipenser_fulvescens,27982413
Acipenser_medirostris,26217884
Acipenser_nudiventris,27983618
Acipenser_oxyrinchus,26129062
Acipenser_ruthenus,83421551
Acipenser_sturio,24703272
Scaphirhynchus_albus,27982375
Scaphirhynchus_suttkusi,34926065
Scaphirhynchus_platorynchus,27982451
Lepisosteus_platyrhincus,27108828
Albula_vulpes,84889100
Halosauropsis_macrochir,33949832
Muraenesox_cinereus,67268469
Chitala_chitala,77617949
Coilia_brachygnathus,24147163
Thryssa_hamiltonii,35448126
Thryssa_mystax,87750150
Thryssa_setirostris,37540610
Anchoa_mitchilli,84517096
Anchoa_tricolor,89443929
Engraulis_mordax,39332108
Engraulis_ringens,40496873
Stolephorus_commersonnii,30900647
Stolephorus_insularis,40496911
Stolephorus_waitei,40493260
Opisthopterus_tardoore,33133140
Alosa_aestivalis,35993654
Alosa_alabamae,26128492
Alosa_mediocris,35993616
Sardinops_sagax,67148315
Limnothrissa_miodon,76815220
Stolothrissa_tanganicae,76815182
Amblygaster_sirm,33133216
Opisthonema_oglinum,84875655
Sardinella_aurita,89445488
Sardinella_brasiliensis,89445526
Sardinella_gibbosa,36271840
Sardinella_lemuru,38280767
Sardinella_longiceps,30863589
Cirrhinus_cirrhosus,31085099
Cyprinus_carpio,64984957
Luciobarbus_sclateri,29992580
Schizothorax_dulongensis,68222337
Rhodeus_amarus,29992808
Chrosomus_erythrogaster,29994024
Gila_coerulea,75517068
Gila_cypha,63652216
Gila_elegans,63880467
Ptychocheilus_lucius,63880429
Ptychocheilus_oregonensis,75516992
Siphateles_bicolor,75517106
Acrocheilus_alutaceus,31083493
Lavinia_exilicauda,31083569
Pseudochondrostoma_polylepis,29994176
Rutilus_rutilus,76828515
Scardinius_erythrophthalmus,29993682
Squalius_cephalus,29992884
Meda_fulgida,26129100
Semotilus_atromaculatus,31084177
Semotilus_corporalis,63880770
Rhynchocypris_oxycephalus,24570926
Pogonichthys_macrolepidotus,31084025
Richardsonius_egregius,75509248
Exoglossum_maxillingua,35993578
Oregonichthys_crameri,75508898
Rhinichthys_atratulus,31084063
Rhinichthys_cataractae,31084101
Cyprinella_venusta,86115041
Dionda_diaboli,63652368
Hybognathus_amarus,63652330
Hybognathus_nuchalis,29993910
Hybognathus_placitus,67137909
Hybopsis_amnis,83239857
Luxilus_chrysocephalus,31083379
Luxilus_cornutus,31083607
Luxilus_pilsbryi,86114850
Lythrurus_umbratilis,31083759
Macrhybopsis_hyostoma,28262424
Macrhybopsis_meeki,31083797
Notropis_atherinoides,31083417
Notropis_bifrenatus,31083873
Notropis_boops,86115154
Notropis_buccula,89431760
Notropis_buccatus,86115002
Notropis_chalybaeus,35993312
Notropis_chrosomus,31084215
Notropis_girardi,83238707
Notropis_heterolepis,35993350
Notropis_hudsonius,35993540
Notropis_jemezanus,63652406
Notropis_maculatus,86114889
Notropis_oxyrhynchus,89431722
Notropis_texanus,86114927
Notropis_volucellus,83239819
Opsopoeodus_emiliae,31083455
Pimephales_notatus,31083987
Pimephales_promelas,26048330
Platygobio_gracilis,29993986
Catostomus_catostomus,35993502
Catostomus_columbianus,75509095
Catostomus_latipinnis,63652444
Catostomus_macrocheilus,75509056
Catostomus_microps,75517030
Catostomus_rimiculus,75509015
Catostomus_tahoensis,75517144
Catostomus_warnerensis,75509363
Chasmistes_brevirostris,75509171
Deltistes_luxatus,63652254
Thoburnia_rhothoeca,29996418
Moxostoma_duquesnii,86114621
Moxostoma_erythrurum,86114545
Carpiodes_cyprinus,65343617
Barbatula_barbatula,24404654
Hedinichthys_yarkandensis,25020963
