Gene_ID,12S rRNA,COX1,mitofish,In_COX1,In_12S_rRNA,In_mitofish,Mod,Total_Frequency
Albula_vulpes,60.0,60.0,60.0,1,1,1,ssj,180.0
Ambassis_agassizii,60.0,60.0,60.0,1,1,1,std,180.0
Ambassis_gymnocephalus,60.0,60.0,60.0,1,1,1,std,180.0
Boleophthalmus_pectinirostris,60.0,60.0,60.0,1,1,1,std,180.0
Channa_punctata,60.0,60.0,60.0,1,1,1,std,180.0
Eleotris_oxycephala,60.0,60.0,60.0,1,1,1,std,180.0
Gasterosteus_aculeatus,60.0,60.0,60.0,1,1,1,std,180.0
Ginglymostoma_cirratum,60.0,60.0,60.0,1,1,1,stf,180.0
Gymnogobius_urotaenia,60.0,60.0,60.0,1,1,1,std,180.0
Hemipristis_elongata,60.0,60.0,60.0,1,1,1,stf,180.0
Lesueurigobius_friesii,60.0,60.0,60.0,1,1,1,std,180.0
Mullus_surmuletus,60.0,60.0,60.0,1,1,1,std,180.0
Neogobius_melanostomus,60.0,60.0,60.0,1,1,1,std,180.0
Percopsis_omiscomaycus,60.0,60.0,60.0,1,1,1,std,180.0
Pomatoschistus_minutus,60.0,60.0,60.0,1,1,1,std,180.0
Retropinna_semoni,60.0,60.0,60.0,1,1,1,std,180.0
Rhinogobius_brunneus,60.0,60.0,60.0,1,1,1,std,180.0
Upeneus_sulphureus,60.0,60.0,60.0,1,1,1,std,180.0
Upeneus_tragula,60.0,60.0,60.0,1,1,1,std,180.0
Channa_striata,60.0,59.0,60.0,1,1,1,std,179.0
Kryptolebias_marmoratus,57.0,60.0,60.0,1,1,1,std,177.0
Mastacembelus_erythrotaenia,60.0,57.0,60.0,1,1,1,std,177.0
Umbra_limi,60.0,53.0,60.0,1,1,1,std,173.0
Zeus_faber,60.0,53.0,60.0,1,1,1,std,173.0
Parapocryptes_serperaster,60.0,60.0,48.0,1,1,1,std,168.0
Sphyrna_tiburo,53.0,60.0,51.0,1,1,1,stf,164.0
