seq1	Actinia_equina
seq2	Metridium_senile
seq3	Pelagia_noctiluca
seq4	Cassiopea_xamachana
seq5	Mnemiopsis_leidyi
seq6	Symsagittifera_roscoffensis
seq7	Brachionus_plicatilis
seq8	Katharina_tunicata
seq9	Cryptochiton_stelleri
seq10	Placopecten_magellanicus
seq11	Argopecten_purpuratus
seq12	Mimachlamys_varia
seq13	Crassostrea_gigas
seq14	Ostrea_edulis
seq15	Saccostrea_cucullata
seq16	Brachidontes_pharaonis
seq17	Geukensia_demissa
seq18	Mytilus_californianus
seq19	Mytilus_galloprovincialis
seq20	Mytilus_trossulus
seq21	Perna_viridis
seq22	Perna_perna
seq23	Perna_canaliculus
seq24	Mytilisepta_virgata
seq25	Laternula_elliptica
seq26	Cerastoderma_edule
seq27	Tridacna_gigas
seq28	Donax_trunculus
seq29	Donax_vittatus
seq30	Limecola_balthica
seq31	Mya_arenaria
seq32	Arctica_islandica
seq33	Corbicula_fluminea
seq34	Dosinia_japonica
seq35	Mercenaria_mercenaria
seq36	Ruditapes_philippinarum
seq37	Ruditapes_decussatus
seq38	Echyridella_menziesii
seq39	Cumberlandia_monodonta
seq40	Margaritifera_laevis
seq41	Margaritifera_margaritifera
seq42	Amblema_plicata
seq43	Quadrula_quadrula
seq44	Unio_bonellii
seq45	Potomida_littoralis
seq46	Lamellidens_marginalis
seq47	Alasmidonta_heterodon
seq48	Anodonta_anatina
seq49	Anodonta_cygnea
seq50	Pseudanodonta_complanata
seq51	Pyganodon_grandis
seq52	Sinanodonta_woodiana
seq53	Unio_pictorum
seq54	Gibbula_umbilicalis
seq55	Haliotis_rubra
seq56	Clithon_retropictus
seq57	Pomacea_canaliculata
seq58	Buccinum_undatum
seq59	Potamopyrgus_antipodarum
seq60	Aplysia_californica
seq61	Bulinus_globosus
seq62	Bulinus_truncatus
seq63	Ferrissia_fragilis
seq64	Biomphalaria_glabrata
seq65	Biomphalaria_pfeifferi
seq66	Physella_acuta
seq67	Succinea_putris
seq68	Discus_perspectivus
seq69	Ambigolimax_valentianus
seq70	Helix_pomatia
seq71	Nautilus_pompilius
seq72	Doryteuthis_opalescens
seq73	Loligo_bleekeri
seq74	Sepioteuthis_lessoniana
