seq1	Actinia
seq2	Metridium
seq3	Pelagia
seq4	Cassiopea
seq5	Mnemiopsis
seq6	Symsagittifera
seq7	Brachionus
seq8	Katharina
seq9	Cryptochiton
seq10	Placopecten
seq11	Argopecten
seq12	Mimachlamys
seq13	Crassostrea
seq14	Ostrea
seq15	Saccostrea
seq16	Brachidontes
seq17	Geukensia
seq18	Mytilus
seq19	Mytilus
seq20	Mytilus
seq21	Perna
seq22	Perna
seq23	Perna
seq24	Mytilisepta
seq25	Laternula
seq26	Cerastoderma
seq27	Tridacna
seq28	Donax
seq29	Donax
seq30	Limecola
seq31	Mya
seq32	Arctica
seq33	Corbicula
seq34	Dosinia
seq35	Mercenaria
seq36	Ruditapes
seq37	Ruditapes
seq38	Echyridella
seq39	Cumberlandia
seq40	Margaritifera
seq41	Margaritifera
seq42	Amblema
seq43	Quadrula
seq44	Unio
seq45	Potomida
seq46	Lamellidens
seq47	Alasmidonta
seq48	Anodonta
seq49	Anodonta
seq50	Pseudanodonta
seq51	Pyganodon
seq52	Sinanodonta
seq53	Unio
seq54	Gibbula
seq55	Haliotis
seq56	Clithon
seq57	Pomacea
seq58	Buccinum
seq59	Potamopyrgus
seq60	Aplysia
seq61	Bulinus
seq62	Bulinus
seq63	Ferrissia
seq64	Biomphalaria
seq65	Biomphalaria
seq66	Physella
seq67	Succinea
seq68	Discus
seq69	Ambigolimax
seq70	Helix
seq71	Nautilus
seq72	Doryteuthis
seq73	Loligo
seq74	Sepioteuthis
seq75	Uroteuthis
seq76	Uroteuthis
seq77	Uroteuthis
seq78	Liocranchia
seq79	Abraliopsis
seq80	Watasenia
seq81	Histioteuthis
seq82	Illex
seq83	Dosidicus
seq84	Sthenoteuthis
seq85	Thysanoteuthis
seq86	Sepia
seq87	Sepia
seq88	Sepia
seq89	Sepia
seq90	Sepia
seq91	Sepiella
seq92	Sepietta
seq93	Rossia
seq94	Spirula
seq95	Argonauta
seq96	Argonauta
seq97	Japetella
seq98	Eledone
seq99	Enteroctopus
seq100	Amphioctopus
seq101	Octopus
seq102	Octopus
seq103	Octopus
seq104	Octopus
seq105	Octopus
seq106	Pteroctopus
seq107	Vampyroteuthis
seq108	Flustra
seq109	Hediste
seq110	Urechis
seq111	Lumbricus
seq112	Aporrectodea
seq113	Eisenia
seq114	Eisenia
seq115	Barbronia
seq116	Theromyzon
seq117	Lineus
seq118	Caenorhabditis
seq119	Rhizoglyphus
seq120	Artemia
seq121	Artemia
seq122	Eubranchipus
seq123	Streptocephalus
seq124	Branchinella
seq125	Daphnia
seq126	Daphnia
seq127	Daphnia
seq128	Simocephalus
seq129	Diaphanosoma
seq130	Lepidurus
seq131	Triops
seq132	Triops
seq133	Pollicipes
seq134	Amphibalanus
seq135	Eurytemora
seq136	Lepeophtheirus
seq137	Gonodactylaceus
seq138	Gammarus
seq139	Gammarus
seq140	Hyalella
seq141	Euphausia
seq142	Litopenaeus
seq143	Marsupenaeus
seq144	Fenneropenaeus
seq145	Paratya
seq146	Homarus
seq147	Homarus
seq148	Pacifastacus
seq149	Austropotamobius
seq150	Procambarus
seq151	Panulirus
seq152	Paralithodes
seq153	Birgus
seq154	Cancer
seq155	Charybdis
seq156	Portunus
seq157	Folsomia
seq158	Orchesella
seq159	Lepisma
seq160	Locusta
seq161	Extatosoma
seq162	Bemisia
seq163	Acyrthosiphon
seq164	Nezara
seq165	Aedes
seq166	Culex
seq167	Plodia
seq168	Bombyx
seq169	Manduca
seq170	Spodoptera
seq171	Helicoverpa
seq172	Linepithema
seq173	Ophiura
seq174	Pisaster
seq175	Acanthaster
seq176	Protoreaster
seq177	Crossaster
seq178	Sterechinus
seq179	Mesocentrotus
seq180	Strongylocentrotus
seq181	Strongylocentrotus
seq182	Strongylocentrotus
seq183	Lytechinus
seq184	Paracentrotus
seq185	Loxechinus
seq186	Echinocardium
seq187	Holothuria
seq188	Branchiostoma
seq189	Ascidiella
seq190	Ciona
seq191	Botrylloides
seq192	Styela
seq193	Myxine
seq194	Geotria
seq195	Mordacia
seq196	Petromyzon
seq197	Ichthyomyzon
seq198	Ichthyomyzon
seq199	Entosphenus
seq200	Lampetra
seq201	Lethenteron
seq202	Lampetra
seq203	Lampetra
seq204	Callorhinchus
seq205	Callorhinchus
seq206	Chimaera
seq207	Chimaera
seq208	Rhinochimaera
seq209	Hemiscyllium
seq210	Chiloscyllium
seq211	Stegostoma
seq212	Rhincodon
seq213	Ginglymostoma
seq214	Galeus
seq215	Scyliorhinus
seq216	Scyliorhinus
seq217	Mustelus
seq218	Mustelus
seq219	Triakis
seq220	Triakis
seq221	Galeorhinus
seq222	Hemitriakis
seq223	Carcharhinus
seq224	Carcharhinus
seq225	Carcharhinus
seq226	Carcharhinus
seq227	Carcharhinus
seq228	Carcharhinus
seq229	Carcharhinus
seq230	Carcharhinus
seq231	Carcharhinus
